Optimization,Caches,Receiver/Sender First,Message Size,SRR Time (us)
opt,nocache,R,4,33.54
opt,nocache,S,4,29.89
opt,nocache,R,64,34.06
opt,nocache,S,64,30.34
opt,nocache,R,256,39.34
opt,nocache,S,256,35.58
opt,icache,R,4,15.37
opt,icache,S,4,14.01
opt,icache,R,64,15.59
opt,icache,S,64,14.31
opt,icache,R,256,17.24
opt,icache,S,256,16.12
opt,dcache,R,4,30.13
opt,dcache,S,4,26.59
opt,dcache,R,64,30.68
opt,dcache,S,64,27.03
opt,dcache,R,256,35.89
opt,dcache,S,256,32.23
opt,bcache,R,4,2.24
opt,bcache,S,4,2.21
opt,bcache,R,64,2.26
opt,bcache,S,64,2.20
opt,bcache,R,256,2.36
opt,bcache,S,256,2.33
noopt,nocache,R,4,83.16
noopt,nocache,S,4,81.16
noopt,nocache,R,64,203.23
noopt,nocache,S,64,201.62
noopt,nocache,R,256,582.89
noopt,nocache,S,256,581.41
noopt,icache,R,4,74.25
noopt,icache,S,4,72.82
noopt,icache,R,64,192.36
noopt,icache,S,64,191.06
noopt,icache,R,256,569.68
noopt,icache,S,256,568.10
noopt,dcache,R,4,64.14
noopt,dcache,S,4,61.65
noopt,dcache,R,64,117.61
noopt,dcache,S,64,115.17
noopt,dcache,R,256,286.46
noopt,dcache,S,256,283.86
noopt,bcache,R,4,4.06
noopt,bcache,S,4,3.64
noopt,bcache,R,64,5.59
noopt,bcache,S,64,5.43
noopt,bcache,R,256,10.89
noopt,bcache,S,256,10.46
